"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs","dateTime","#corr top1","Precision top1","Recall top1","F1 top1"
"27_10_85_dw_kaggle_f","dw","kaggle_f","27","0,85","10","0,948453608","0,471794872","0,630136986","0,805194805","0,898550725","0,849315068","4553","00:04:32","0.9940586163356226","5622217","25.11.2022 21:06","1533","0,964285714","0,391304348","0,556701031"
"27_10_87_dw_kaggle_f","dw","kaggle_f","27","0,875","10","0,957894737","0,466666667","0,627586207","0,8","0,811594203","0,805755396","3900","00:04:32","0.9940586163356226","5622217","25.11.2022 21:06","1482","0,961538462","0,362318841","0,526315789"
"27_10_87_forbes_kaggle_f","forbes","kaggle_f","27","0,875","10","0,972477064","0,493023256","0,654320988","0,805194805","0,885714286","0,843537415","4156","00:05:27","0.9935787802696053","6316297","28.11.2022 20:28","1556","1","0,428571429","0,6"
"21_10_8_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0,8","10","0,956896552","0,606557377","0,742474916","0,904109589","0,942857143","0,923076923","7593","00:14:53","0.9936583052046677","-12144357","28.11.2022 12:22","2825","0,979166667","0,671428571","0,796610169"
"23_11_7_dbpedia_forbes","dbpedia","forbes","23","0,7","11","0,92248062","0,668539326","0,7752443","0,857142857","0,9375","0,895522388","847","00:00:14","0.9627863194874974","360154","22.11.2022 21:10","602","0,918367347","0,703125","0,796460177"
"13_11_8_dbpedia_forbes","dbpedia","forbes","13","0,8","11","0,988505747","0,483146067","0,649056604","0,956521739","0,6875","0,8","608","00:00:36","0.9627863194874974","360154","23.11.2022 12:27","466","0,947368421","0,5625","0,705882353"
"19_10_7_dbpedia_kaggle","dbpedia","kaggle","19","0,7","10","0,946236559","0,435643564","0,596610169","0,838235294","0,93442623","0,88372093","14105","00:18:30","0.9942044619521371","284531","22.11.2022 15:07","3463","0,948717949","0,606557377","0,74"
"11_11_8_dbpedia_forbes","dbpedia","forbes","11","0,8","11","0,951923077","0,556179775","0,70212766","0,885245902","0,84375","0,864","713","00:00:37","0.9627863194874974","360154","23.11.2022 12:23","540","0,918367347","0,703125","0,796460177"
"26_11_85_dbpedia_forbes","dbpedia","forbes","26","0,85","11","0,990654206","0,595505618","0,743859649","0,98245614","0,875","0,925619835","722","00:00:17","0.9627863194874974","360154","22.11.2022 21:11","541","0,97826087","0,703125","0,818181818"
"20_11_9_dbpedia_forbes","dbpedia","forbes","20","0,9","11","1","0,43258427","0,603921569","0,975","0,609375","0,75","567","00:00:51","0.9627863194874974","360154","23.11.2022 12:34","440","0,96969697","0,5","0,659793814"
"9_10_87_forbes_kaggle_f","forbes","kaggle_f","9","0,875","10","0,984375","0,293023256","0,451612903","0,941176471","0,457142857","0,615384615","1967","00:04:00","0.9935787802696053","6316297","28.11.2022 19:49","1194","1","0,271428571","0,426966292"
"8_11_87_dbpedia_dw","dbpedia","dw","8","0,875","11","1","0,629757785","0,772823779","0,95505618","0,841584158","0,894736842","590","00:00:35","0.9639047817907086","336055","23.11.2022 12:51","452","0,969230769","0,623762376","0,759036145"
"19_10_7_forbes_kaggle_f","forbes","kaggle_f","19","0,7","10","0,981481481","0,493023256","0,656346749","0,759493671","0,857142857","0,805369128","4461","00:04:29","0.9935787802696053","6316297","28.11.2022 20:13","1556","0,967741935","0,428571429","0,594059406"
"1_11_7_dbpedia_forbes","dbpedia","forbes","1","0,7","11","0,904","0,634831461","0,745874587","0,8","0,875","0,835820896","832","00:00:07","0.9627863194874974","360154","22.11.2022 21:05","591","0,88","0,6875","0,771929825"
"14_11_7_dbpedia_forbes","dbpedia","forbes","14","0,7","11","0,928","0,651685393","0,765676568","0,8","0,9375","0,863309353","852","00:00:11","0.9627863194874974","360154","22.11.2022 21:08","599","0,87037037","0,734375","0,796610169"
"16_11_8_dbpedia_dw","dbpedia","dw","16","0,8","11","0,984042553","0,640138408","0,775681342","0,954022989","0,821782178","0,882978723","674","00:00:23","0.9639047817907086","336055","23.11.2022 12:55","508","0,983870968","0,603960396","0,748466258"
"19_11_7_dbpedia_forbes","dbpedia","forbes","19","0,7","11","0,93220339","0,617977528","0,743243243","0,846153846","0,859375","0,852713178","767","00:00:08","0.9627863194874974","360154","22.11.2022 21:09","570","0,9","0,703125","0,789473684"
"8_10_85_forbes_kaggle_f","forbes","kaggle_f","8","0,85","10","0,985815603","0,646511628","0,780898876","0,9","0,771428571","0,830769231","1734","00:15:02","0.9935787802696053","6316297","28.11.2022 18:01","875","0,928571429","0,557142857","0,696428571"
"19_11_85_dbpedia_forbes","dbpedia","forbes","19","0,85","11","1","0,550561798","0,710144928","0,980392157","0,78125","0,869565217","683","00:00:08","0.9627863194874974","360154","22.11.2022 21:09","520","0,976190476","0,640625","0,773584906"
"15_10_87_forbes_kaggle_f","forbes","kaggle_f","15","0,875","10","0,958333333","0,106976744","0,192468619","0,909090909","0,142857143","0,24691358","1647","00:04:43","0.9935787802696053","6316297","28.11.2022 19:59","1032","1","0,114285714","0,205128205"
"16_11_87_dbpedia_dw","dbpedia","dw","16","0,875","11","0,983783784","0,629757785","0,767932489","0,952941176","0,801980198","0,870967742","666","00:00:22","0.9639047817907086","336055","23.11.2022 12:55","501","0,983333333","0,584158416","0,732919255"
"1_10_8_dbpedia_kaggle_f","dbpedia","kaggle_f","1","0,8","10","0,980582524","0,551912568","0,706293706","0,9375","0,869565217","0,902255639","8999","00:06:30","0.9936582749521268","-12144415","24.11.2022 19:55","2747","0,975","0,565217391","0,71559633"
"6_10_85_forbes_kaggle_f","forbes","kaggle_f","6","0,85","10","0,988235294","0,390697674","0,56","0,911111111","0,585714286","0,713043478","2030","00:04:08","0.9935787802696053","6316297","28.11.2022 19:45","1234","1","0,357142857","0,526315789"
